title,post,timestamp
Can’t… blog… too much… pain…,"I’m bedridden with a sore throat, and on enough painkillers to knock out an elephant (well, a very small elephant). I assume the String Theory God is punishing me. I’ve been repenting to all five of His manifestations — Type I, Type IIA, Type IIB, Heterotic SO(32), and Heterotic E8xE8 — and hopefully I’ll be back in a couple days.  Happy Halloween.",2026-02-14T00:42:59.899062
"Buck, buck, buck","Like a masked chicken of the darkness, the anonymous commenter deposits his ad hominem attack and then flees the scene, as though repelled by the malodorous stench of his own words.  Alright, I’m not Stephen King.  But the point is that, if you leave an anonymous comment that doesn’t contribute anything, from now on I’m going to feel free to delete it.  I will never delete signed comments, unless they’re completely off-topic, or reveal the coordinates of nuclear missiles being transported across South Dakota, or something like that.  Oh yeah: and tomorrow night, if you’re going to egg any houses or toilet-paper any trees, sign your work.",2026-02-14T00:42:59.899062
Mahmoud and me (continued),"I woke up this afternoon to find, in the comments section of my previous post, an ongoing debate about whether or not I was being serious when I praised the President of Iran for his resoluteness and conviction. For those who couldn’t figure it out, the answer is: of course I was being serious. In fact, right after I finished blogging, I telephoned Mahmoud to ask whether the Iranian army could use the services of a 24-year-old male who speaks fluent English, can do up to two push-ups per day, once fired an actual rifle, loves Persian food, and believes himself able to prove quantum lower bounds under combat conditions.

Mahmoud mulled it over for a while, and then replied that, while my qualifications were certainly impressive, unfortunately I did not meet his needs at the present time. I was devastated — and, I confess, I even started to wonder whether anti-Semitism might be at play. Except … how could he know? Throw in an extra “s,” and “Scott Aaronsson” could almost pass for Scandanavian. Then it hit me: like everyone else I’ve talked to over the past couple weeks, Mahmoud must be reading my weblog!

OK, look: is it “immature” to joke about these things, as several posters argued?  Yes, it is immature. The mature response is to deplore evil, to be shocked by it — not to make a movie with Nazis dancing to the tune of “Springtime for Hitler in Germany,” or Woody Allen standing behind Hitler on a podium as part of his ongoing struggle to fit in. It’s just that all that deploring gets monotonous eventually. After a millennium or two, there’s nothing else to do except joke.  As the story goes:

In 1936 in Berlin, a Jew is sitting in a cafe, reading Der Stürmer.  His friend runs over to him: “Herschel, what are you doing?  Don’t you realize that’s a Nazi paper?”

“Yeah, but in the Jewish papers, the news is always so depressing. Here it’s phenomenal: we control the banks, we control the media…”",2026-02-14T00:42:59.899062
Mahmoud and me,"From the Wikipedia entry on Mahmoud Ahmadinejad, the current President of Iran:

During a “World Without Zionism” student conference in October 2005, Mahmoud Ahmadinejad … called Israel a “disgraceful blot” that ought to be “wiped off the map.” He went on to decry attempts to normalize relations with Israel and condemned all Islamic leaders who recognize Israel’s existence as “acknowledging the surrender and defeat of the Islamic world” …

Kofi Annan said he was dismayed by the comments, and reiterated Iran’s obligations and Israel’s right of existence under the UN Charter.  The White House responded by saying Ahmadinejad’s rhetoric showed that it was correct in trying to halt Iran’s nuclear program.  EU leaders issued a strong condemnation of the Iranian President’s remarks, stating that “[c]alls for violence, and for the destruction of any state, are manifestly inconsistent with any claim to be a mature and responsible member of the international community.”

Ahmadinejad reaffirmed his position on 28 October 2005, as supporters chanting “death to Israel” and “death to America”, some burning and trampling on Israeli and U.S. flags, marched to a rally in Tehran attended by most of Iran’s top officials. “My words are the Iranian nation’s words,” he said. “Westerners are free to comment, but their reactions are invalid.”

In an age when soft-pedaling, pussyfooting, and political correctness are the norm, it’s refreshing to find a leader with genuine convictions — one who says what he means, and refuses to back down at the first whiff of criticism. Say what you like about Mahmoud; the man is not a flip-flopping wuss.",2026-02-14T00:42:59.899062
Insert “string” pun here,"Over at Peter Woit’s blog there’s a lively discussion about the differences between string theory and intelligent design. There are a few obvious ones: one is based Fields Medal caliber math and the other on elementary mistakes in probability; one is studied at an Institute and the other at an “Institute”. But arguably, neither theory has yet made a clear prediction or explained what it sets out to in a non-circular way. String theorists explain the muon mass by invoking an infinite set of Calabi-Yau manifolds, some of which presumably yield the right value; ID’ers explain the complicated dance of bees by invoking a yet more complicated designer.

Of course, an important difference is that most string theorists admit the situation sucks. Many are searching for some deeper principle that would pick out a preferred vacuum (or set of vacua, or probability distribution over vacua) non-anthropically. Based on what little I know, it doesn’t sound like an enviable task. Today I had lunch with Frederik Denef, a string theorist who’s interested in the computational complexity of finding a minimum-energy vacuum, given a collection of scalar fields. He’s formulated some toy problems, all of which are provably NP-hard (or as hard as unique-SVP under a uniqueness assumption). I was impressed by Denef’s knowledge of complexity, and by his willingness to state precise problems that I could understand. But his work suggests an obvious conundrum: if finding an “optimal” Calabi-Yau is so hard, then how did Nature do it in the first place? (If the string theorists ever succeed, will a voice in the sky boom “Thanks, dudes!” just before space as we know it disappears?)

In short, if the ID’ers are armed squatters in the apartment building of science, openly scorning the materialistic concept of rent, then the string theorists are model tenants who often drop by the landlord’s office to say good afternoon, and by the way, that check from 20 years ago should clear any day. (In their defense, the other quantum gravity theorists’ checks haven’t cleared either.) To me, this raises an interesting question: does science need a notion of “resource-bounded falsifiability,” which is to Popper’s original notion as complexity is to computability?",2026-02-14T00:42:59.899062
Can’t… blog… too much… pain…,"I’m bedridden with a sore throat, and on enough painkillers to knock out an elephant (well, a very small elephant). I assume the String Theory God is punishing me. I’ve been repenting to all five of His manifestations — Type I, Type IIA, Type IIB, Heterotic SO(32), and Heterotic E8xE8 — and hopefully I’ll be back in a couple days.  Happy Halloween.","Monday, October 31st, 2005"
Can’t… blog… too much… pain…,"I’m bedridden with a sore throat, and on enough painkillers to knock out an elephant (well, a very small elephant). I assume the String Theory God is punishing me. I’ve been repenting to all five of His manifestations — Type I, Type IIA, Type IIB, Heterotic SO(32), and Heterotic E8xE8 — and hopefully I’ll be back in a couple days.  Happy Halloween.","Monday, October 31st, 2005"
Can’t… blog… too much… pain…,"I’m bedridden with a sore throat, and on enough painkillers to knock out an elephant (well, a very small elephant). I assume the String Theory God is punishing me. I’ve been repenting to all five of His manifestations — Type I, Type IIA, Type IIB, Heterotic SO(32), and Heterotic E8xE8 — and hopefully I’ll be back in a couple days.  Happy Halloween.","Monday, October 31st, 2005"
"Buck, buck, buck","Like a masked chicken of the darkness, the anonymous commenter deposits his ad hominem attack and then flees the scene, as though repelled by the malodorous stench of his own words.  Alright, I’m not Stephen King.  But the point is that, if you leave an anonymous comment that doesn’t contribute anything, from now on I’m going to feel free to delete it.  I will never delete signed comments, unless they’re completely off-topic, or reveal the coordinates of nuclear missiles being transported across South Dakota, or something like that.  Oh yeah: and tomorrow night, if you’re going to egg any houses or toilet-paper any trees, sign your work.","Monday, October 31st, 2005"
Mahmoud and me (continued),"I woke up this afternoon to find, in the comments section of my previous post, an ongoing debate about whether or not I was being serious when I praised the President of Iran for his resoluteness and conviction. For those who couldn’t figure it out, the answer is: of course I was being serious. In fact, right after I finished blogging, I telephoned Mahmoud to ask whether the Iranian army could use the services of a 24-year-old male who speaks fluent English, can do up to two push-ups per day, once fired an actual rifle, loves Persian food, and believes himself able to prove quantum lower bounds under combat conditions.

Mahmoud mulled it over for a while, and then replied that, while my qualifications were certainly impressive, unfortunately I did not meet his needs at the present time. I was devastated — and, I confess, I even started to wonder whether anti-Semitism might be at play. Except … how could he know? Throw in an extra “s,” and “Scott Aaronsson” could almost pass for Scandanavian. Then it hit me: like everyone else I’ve talked to over the past couple weeks, Mahmoud must be reading my weblog!

OK, look: is it “immature” to joke about these things, as several posters argued?  Yes, it is immature. The mature response is to deplore evil, to be shocked by it — not to make a movie with Nazis dancing to the tune of “Springtime for Hitler in Germany,” or Woody Allen standing behind Hitler on a podium as part of his ongoing struggle to fit in. It’s just that all that deploring gets monotonous eventually. After a millennium or two, there’s nothing else to do except joke.  As the story goes:

In 1936 in Berlin, a Jew is sitting in a cafe, reading Der Stürmer.  His friend runs over to him: “Herschel, what are you doing?  Don’t you realize that’s a Nazi paper?”

“Yeah, but in the Jewish papers, the news is always so depressing. Here it’s phenomenal: we control the banks, we control the media…”","Sunday, October 30th, 2005"
